시군별(1),시군별(2),2020,,,,,,,,,
,,총면적 (㎡),백사장,,시설물 (개),,,,,,이용객수 (명)
,,소계,면적 (㎡),길이 (m),탈의장,샤워장,화장실,뜀대,망루대,공동수도,소계
전체,소계,"2,015,403","1,949,377","37,015",135,129,168,1,181,169,"3,624,456"
강릉시,소계,"641,900","641,900","11,880",57,28,48,-,44,34,"787,778"
,경포,"144,000","144,000","1,800",13,3,4,-,11,2,"295,998"
,주문진,"72,500","72,500","1,450",5,3,6,-,8,5,"73,422"
,연곡,"35,000","35,000",700,2,2,3,-,3,5,"16,605"
,옥계,"56,300","56,300",450,2,2,5,-,2,6,"10,479"
,사근진,"30,000","30,000",800,6,1,2,-,1,1,"6,637"
,강문,"9,000","9,000",300,4,1,2,-,3,1,"67,832"
,송정,"6,000","6,000",200,2,1,1,-,1,1,"24,626"
,안목,"9,000","9,000",300,4,2,2,-,2,1,"113,056"
,등명,"20,000","20,000",400,1,1,2,-,1,1,-
,영진,"13,500","13,500",450,2,2,3,-,2,-,"32,588"
,안인,"3,000","3,000",100,1,1,1,-,1,-,-
,하평,"8,000","8,000",300,1,1,2,-,-,1,"5,430"
,사천,"24,000","24,000",270,1,1,2,-,-,3,"15,720"
,사천진,"36,000","36,000",800,3,1,2,-,-,2,"34,315"
,순긋,"16,000","16,000",400,2,1,1,-,1,-,"4,758"
,염전,"9,000","9,000",300,1,1,1,-,1,1,-
,정동진,"75,000","75,000","1,500",2,2,3,-,3,1,"74,223"
,도직,"9,800","9,800",250,1,-,1,-,1,2,-
,금진,"37,900","37,900",800,2,1,3,-,2,-,"12,089"
,남항진,"27,900","27,900",310,2,1,2,-,1,1,-
동해시,소계,"251,026","185,000","2,890",8,8,15,-,12,14,"753,255"
,망상,"146,235","114,000","1,140",2,2,8,-,6,6,"473,956"
,노봉,"39,070","17,500",350,1,1,1,-,1,-,"5,258"
,어달,"7,228","6,000",300,1,1,1,-,1,1,"19,377"
,오토캠핑장,"31,308","32,500",650,2,2,2,-,1,4,"10,443"
,추암,"11,584","9,000",300,1,1,2,-,2,2,"244,221"
,대진,"15,601","6,000",150,1,1,1,-,1,1,-
속초시,소계,"61,300","61,300","1,310",4,4,8,-,10,4,"345,891"
,속초,"50,000","50,000","1,000",2,2,5,-,6,2,"289,066"
,속초등대,"4,800","4,800",160,1,1,1,-,2,1,"30,339"
,외옹치,"6,500","6,500",150,1,1,2,-,2,1,"26,486"
삼척시,소계,"211,026","211,026","3,560",2,17,25,-,22,15,"678,319"
,맹방,"52,632","52,632",640,-,3,3,-,4,2,"159,240"
,덕산,"19,800","19,800",500,-,2,2,-,1,1,-
,궁촌,"2,000","2,000",90,-,1,1,-,1,1,-
,용화,"5,955","5,955",180,-,1,2,-,2,2,"6,716"
,장호,"1,700","1,700",100,-,2,2,-,1,1,-
,임원,"2,250","2,250",150,1,1,2,-,1,2,-
,한재밑,-,-,-,-,-,-,-,-,-,-
,하맹방,"1,265","1,265",80,-,1,1,-,1,1,"3,710"
,상맹방,"3,900","3,900",110,-,1,2,-,1,2,-
,부남,426,426,170,-,-,1,-,1,-,-
,문암,"1,150","1,150",80,-,-,-,-,1,-,"6,695"
,삼척,"103,018","103,018",970,1,3,3,-,6,3,"491,685"
,작은후진,"6,000","6,000",150,-,-,1,-,1,-,"2,696"
,증산,"8,000","8,000",200,-,-,2,-,1,-,-
,오분,"1,980","1,980",80,-,1,1,-,-,-,"1,629"
,원평,950,950,60,-,1,2,-,-,-,"5,948"
고성군,소계,"512,351","512,351","9,880",31,31,36,1,52,53,"218,478"
,송지호,"38,329","38,329",652,1,1,2,-,3,4,"25,118"
,송지호오토캠핑,"14,357","14,357",165,2,2,2,-,5,6,"11,402"
,삼포,"32,239","32,239",465,1,1,1,-,3,3,"10,050"
,화진포,"62,340","62,340",482,2,2,2,-,5,6,"10,168"
,봉수대,"27,447","27,447",510,2,2,3,1,3,5,"6,097"
,백도,"33,195","33,195",455,2,2,2,-,3,5,"10,288"
,명파,"6,027","6,027",166,1,1,1,-,1,2,"2,348"
,마차진,"8,743","8,743",233,1,1,1,-,1,1,"4,125"
,대진1리,"8,849","8,849",415,1,1,1,-,1,1,"1,292"
,대진5리,"1,222","1,222",60,1,1,1,-,1,1,"1,121"
,초도,"20,790","20,790",720,1,1,1,-,2,1,"1,134"
,거진1리,"1,638","1,638",153,1,1,1,-,1,1,"3,335"
,거진11리,"27,746","27,746",790,1,1,2,-,2,2,"4,937"
,반암,"7,679","7,679",286,1,1,1,-,1,1,"1,910"
,가진,"2,554","2,554",78,1,1,1,-,1,1,"1,574"
,공현1리,"44,108","44,108",310,1,1,1,-,2,2,"3,169"
,공현2리,"18,556","18,556",424,1,1,1,-,3,1,"2,850"
,삼포2리,"13,151","13,151",210,1,1,1,-,2,1,"4,787"
,자작도,"19,073","19,073",288,1,1,1,-,1,1,"5,510"
,문암2,"8,482","8,482",132,1,1,1,-,1,1,"1,858"
,교암,"9,620","9,620",444,1,1,1,-,1,1,"4,880"
,아야진,"11,824","11,824",308,1,1,2,-,2,1,"43,200"
,청간,"9,607","9,607",306,1,1,2,-,2,1,"3,517"
,천진,"14,602","14,602",457,1,1,1,-,2,1,"10,847"
,봉포,"15,061","15,061",585,1,1,1,-,1,1,"11,930"
,켄싱턴리조트,"18,986","18,986",345,1,1,1,-,1,1,"24,193"
,화진포콘도,"36,126","36,126",441,1,1,1,-,1,1,"6,838"
양양군,소계,"337,800","337,800","7,495",33,41,36,-,41,49,"840,735"
,낙산,"108,600","108,600","1,810",8,10,5,-,8,7,"367,917"
,하조대,"18,000","18,000",450,3,2,4,-,2,4,"228,071"
,설악,"17,800","17,800",445,2,2,3,-,2,3,"5,357"
,오산,"24,000","24,000",400,2,2,1,-,2,3,"9,431"
,죽도,"10,000","10,000",250,1,2,2,-,2,2,"19,560"
,물치,"4,000","4,000",200,1,1,1,-,2,2,"14,410"
,정암,"7,500","7,500",250,1,2,1,-,1,1,"4,838"
,광진,"18,000","18,000",300,1,1,1,-,2,1,"3,536"
,동호,"14,800","14,800",400,1,2,3,-,2,4,"32,086"
,기사문,"5,400","5,400",150,1,2,1,-,1,1,"22,717"
,잔교,"9,000","9,000",300,1,1,1,-,1,2,"4,951"
,중광정,"18,000","18,000",300,1,1,1,-,2,1,"14,670"
,동산,"4,500","4,500",150,1,1,1,-,1,1,"1,873"
,동산포,"5,700","5,700",190,1,2,1,-,1,1,"5,609"
,인구,"10,000","10,000",250,1,1,2,-,2,3,"14,502"
,남애1리,"5,000","5,000",250,2,1,1,-,2,2,"4,972"
,남애3리,"16,000","16,000",400,1,2,2,-,1,2,"16,398"
,지경,"24,000","24,000",400,1,2,1,-,2,4,"48,487"
,원포,"3,000","3,000",150,1,1,1,-,2,2,"1,713"
,갯마을,"2,500","2,500",250,1,1,1,-,2,1,"6,023"
,북분,"12,000","12,000",200,1,2,2,-,1,2,"13,614"