연번,시도,시군구,해수욕장 명,주소,지정일자,조례 유무,백사장 길이(미터),백사장 폭(미터),물놀이 구역 폭(미터),화장실,탈의실,샤워시설,감시탑,오폐수 처리시설,관리 사무소,진료시설,체육시설,판매대여시설,해수풀,공연장,체험장,분수대,주차장 크기(제곱미터),주차장 대수,방문자 수 
1,전라남도,목포시,외달도해수욕장,전라남도 목포시 외달도길 72,2004-07-01,Y,260,30,200,1,,1,1,1,1,,,1,1,,,,500,20,6510
2,전라남도,여수시,방죽포해수욕장,전라남도 여수시 돌산읍 향일암로 804-6,1998-04-04,Y,165,35,10,2,,1,1,,1,,,,,,,,600,350,19651
3,전라남도,여수시,거문도해수욕장,전라남도 여수시 삼산면 거문학교길 3,1998-04-04,Y,285,25,10,1,,1,1,,,,,,,,,,50,20,1063
4,전라남도,여수시,장등해수욕장,전라남도 여수시 화양면 장등길 1,1998-04-04,Y,150,15,10,1,,1,,,,,,,,,,,100,50,9459
5,전라남도,여수시,안도해수욕장,전라남도 여수시 남면 안도해수욕장길 105,1998-04-04,Y,255,20,10,1,,1,,,,,,,,,,,50,20,2461
6,전라남도,여수시,만성리해수욕장,전라남도 여수시 만성리길 15-1 (만흥동),1998-04-04,Y,735,50,10,3,,2,1,,1,,,,,,,,1000,250,47322
7,전라남도,여수시,무슬목해수욕장,전라남도 여수시 돌산읍 돌산로 2876,1998-04-04,Y,435,20,10,1,,1,,,,,,,,,,,3000,100,30264
8,전라남도,여수시,모사금해수욕장,전라남도 여수시 오천4길 29,1998-04-04,Y,225,30,10,2,,1,1,,1,,,,,,,,800,200,28368
9,전라남도,여수시,웅천해수욕장,전라남도 여수시 예울마루로 37-26,2014-06-25,Y,360,10,10,1,,1,1,,1,,,,,,,,17053,469,38041
10,전라남도,여수시,낭도해수욕장,전남 여수시 화정면 낭도리 573-4,,,,,,,,,,,,,,,,,,,,,
11,전라남도,고흥군,연소해수욕장,전라남도 고흥군 금산면 연소양지길 70,2014-06-13,Y,600,20,15,1,,1,,,1,,,,,,,,533,10,4159
12,전라남도,고흥군,익금해수욕장,전라남도 고흥군 금산면 익금해변길 40,2004-12-24,Y,900,50,40,2,,2,1,,1,,,,,,,,2045,24,17384
13,전라남도,고흥군,금장해수욕장,전라남도 고흥군 금산면 금장길 78-26,2014-06-13,Y,500,20,15,1,,1,,,1,,,,,,,,482,12,3166
14,전라남도,고흥군,발포해수욕장,전라남도 고흥군 도화면 천마로 2743,2012-04-23,Y,300,70,50,1,,1,1,,1,,,,,,,,1912,40,8589
15,전라남도,고흥군,나로우주해수욕장,전라남도 고흥군 봉래면 신금길 30-8,2012-04-23,Y,600,50,30,2,,2,1,,1,,,,,,,,7158,100,4035
16,전라남도,고흥군,염포해수욕장,전라남도 고흥군 금산면 연소양지길 70,2014-06-13,Y,500,30,20,1,,1,1,,,,,,,,,,150,8,5291
17,전라남도,고흥군,덕흥해수욕장,전라남도 고흥군 동일면 덕흥양쪽길 118,2004-12-24,Y,500,50,30,2,,2,1,,,,,,,,,,943,10,1438
18,전라남도,고흥군,남열해돋이해수욕장,전라남도 고흥군 영남면 해맞이로 680,2008-12-09,Y,800,80,50,2,,1,1,,1,,,,,,,,5006,300,33307
19,전라남도,고흥군,대전해수욕장,전라남도 고흥군 두원면 두원로 1307,2004-12-24,Y,900,70,50,3,,1,1,,1,,,,,,,,8145,120,9057
20,전라남도,고흥군,풍류해수욕장,전라남도 고흥군 두원면 풍류로 99-14,2014-06-13,Y,500,50,30,1,,1,1,,,,,,,,1,,1806,5,5741
21,전라남도,보성군,율포솔밭해수욕장,전라남도 보성군 회천면 우암길 24,2019-06-01,Y,900,60,100,2,1,3,1,,1,,,,1,,1,,15000,500,33700
22,전라남도,장흥군,수문해수욕장,전라남도 장흥군 안양면 수문용곡로 176,2008-01-10,Y,250,35,30,2,1,1,2,,1,1,1,1,,,,,100,30,6056
23,전라남도,해남군,송호해수욕장,전라남도 해남군 송지면 땅끝해안로 1827,1989-06-13,Y,1500,150,110,4,2,2,1,1,1,1,,,,1,,1,6402,300,20694
24,전라남도,해남군,사구미해수욕장,전라남도 해남군 송지면 땅끝해안로 2726,1989-06-13,Y,2000,100,50,4,2,3,1,1,1,,,,,,1,,3219,200,0
25,전라남도,무안군,홀통해수욕장,전라남도 무안군 현경면 홀통길 198-1,2018-06-05,Y,450,20,400,2,,1,1,,1,,,,,,,,,,0
26,전라남도,무안군,톱머리해수욕장,전라남도 무안군 망운면 톱머리길 36,2018-06-05,Y,500,20,300,1,,1,1,,1,,,,,,,,,,0
27,전라남도,함평군,돌머리해수욕장,전라남도 함평군 함평읍 주포로 614,2018-06-10,Y,900,20,20,2,1,1,1,,1,1,,1,,1,1,,5500,209,0
28,전라남도,영광군,가마미해수욕장,전라남도 영광군 홍농읍 가마미로 341-6,2013-06-18,Y,1000,200,100,1,1,1,2,1,,1,,1,,1,,,10000,300,20541
29,전라남도,영광군,송이도해수욕장,전라남도 영광군 낙월면 송이길 5,2013-06-18,Y,1000,20,20,3,,1,1,,,1,,,,,,,,,723
30,전라남도,완도군,신지명사십리해수욕장,전라남도 완도군 신지면 명사십리길 85-105,2018-06-19,Y,3800,150,100,10,9,9,5,1,2,1,1,,,1,,,43990,"2,680",157929
31,전라남도,완도군,신지 동고해수욕장,전라남도 완도군 신지면 신지로 1275,2018-06-19,Y,3500,250,80,5,4,4,4,,1,1,,,,,,,400,50,3142
32,전라남도,완도군,금일명사십리해수욕장,전라남도 완도군 금일읍 금일로 888,2018-06-19,Y,1200,50,60,1,1,1,1,,,,,,,1,,,330,50,
33,전라남도,완도군,약산 가사해수욕장,전라남도 완도군 약산면 가사길 46,2018-06-19,Y,150,50,40,2,1,1,,,1,,,,,,,,,,3083
34,전라남도,완도군,청산 지리해수욕장,전라남도 완도군 청산면 청산로 1462-58,2018-06-19,Y,1200,100,65,2,1,1,1,,,,,,,,,,,,1105
35,전라남도,완도군,청산 신흥해수욕장,전라남도 완도군 청산면 동촌길 4,2018-06-19,Y,340,200,100,1,1,1,1,,,,,,,,,,,,2707
36,전라남도,완도군,보길 예송해수욕장,전라남도 완도군 보길면 예송로 272,2018-06-19,Y,1000,30,60,2,2,2,1,,,,,,,,,,,,1181
37,전라남도,완도군,보길 중리해수욕장,전라남도 완도군 보길면 보길동로 367-1,2018-06-19,Y,900,50,80,1,1,1,1,,,,,,,,,,,,1297
38,전라남도,완도군,보길 통리해수욕장,전라남도 완도군 보길면 보길동로 239,2018-06-19,Y,800,30,60,2,1,1,1,,,,,,,,,,,,420
39,전라남도,완도군,생일 금곡해수욕장,전라남도 완도군 생일면 생일로 1228,2018-06-19,Y,500,50,60,1,1,1,1,,,,,,,,,,,,3333
40,전라남도,진도군,가계해수욕장,전라남도 진도군 고군면 신비의바닷길 64,2015-07-13,Y,400,70,70,3,1,1,1,1,1,1,1,1,,1,,,37100,"2,016",14716
41,전라남도,진도군,금갑해수욕장,전라남도 진도군 의신면 금갑길 206-6,2015-07-13,Y,300,100,100,1,1,1,1,1,1,1,,1,,,,,5969,324,5622
42,전라남도,진도군,신전해수욕장,전라남도 진도군 조도면 조도대로 115-19,2015-07-13,Y,800,80,80,1,1,1,1,1,1,1,,1,,,,,1174,63,663
43,전라남도,진도군,관매도해수욕장,전라남도 진도군 조도면 관매도길 93,2015-07-13,Y,1200,100,100,1,2,2,1,1,1,1,,1,,,,,1688,91,778
44,전라남도,신안군,우전해수욕장,전라남도 신안군 증도면 지도증도로 1684,2008-02-14,N,300,100,80,1,,1,,,1,,,1,,,,,,,11367
45,전라남도,신안군,짱뚱어해수욕장,전라남도 신안군 증도면 문준경길 459-2,2008-02-14,N,600,100,80,2,,2,1,,1,,,1,1,,,,8204,270,25700
46,전라남도,신안군,대광해수욕장,전라남도 신안군 임자면 대광해수욕장길 179,1990-09-26,Y,1570,100,80,7,,3,1,,1,,,1,,,,1,11808,400,37744
47,전라남도,신안군,분계해수욕장,전라남도 신안군 자은면 자은서부2길 669,2008-02-14,N,600,100,80,1,,1,1,,1,,,1,,,,,500,40,17118
48,전라남도,신안군,원평해수욕장,전라남도 신안군 비금면 원평해수욕장길 64,2008-02-14,N,730,110,90,1,,1,1,,1,,,1,,,,,,,878
49,전라남도,신안군,하트해수욕장,전라남도 신안군 비금면 하누넘해수욕장길 247,2008-02-14,N,200,70,60,1,,1,1,,1,,,1,,,,,330,30,
50,전라남도,신안군,시목해수욕장,전라남도 신안군 도초면 시목길 219-27,2008-02-14,N,1070,60,50,2,,1,1,,1,,,1,,,,,600,50,2284
51,전라남도,신안군,돈목해수욕장,전라남도 신안군 도초면 돈목길 33-1,2008-02-14,N,530,80,70,1,,1,1,,1,,,1,,,,,,,
52,전라남도,신안군,신도해수욕장,전라남도 신안군 하의면 신도길 163,2008-02-14,N,460,50,40,1,,1,,,1,,,,,,,,,,
53,전라남도,신안군,추포해수욕장,전라남도 신안군 암태면 추엽길 58-59,2008-02-14,N,600,40,30,1,,1,1,,1,,,1,,,,,510,40,4837
54,전라남도,신안군,황성금리해수욕장,전라남도 신안군 신의면 하태길 195-17,2008-02-14,N,130,70,60,1,,1,,,1,,,,,,,,400,30,1504
55,전라남도,신안군,배낭기미해수욕장,전라남도 신안군 흑산면 흑산일주로 491,2008-02-14,N,200,30,20,1,,1,1,,1,,,,,,,,80,10,1160
56,전라남도,신안군,설레미해수욕장,전라남도 신안군 증도면 우전길 42,2020-06-29,N,416,67,30,1,,1,1,,1,,,1,,,,,300,90,
